spot1,,
Wavelength (nm),Abs,
799.9973755,0.0007128630532,
798.9931641,0.001661325106,
797.9885864,0.002085480373,
796.9835815,0.001255366486,
796.0128784,0.00146793446,
795.007019,0.001815548516,
794.0008545,0.001251861802,
792.9942017,0.0009981183102,
791.9871826,0.00184021797,
791.0144653,0.001797144883,
790.0067139,0.001487700851,
788.9984741,0.001520092599,
787.9899292,0.001238284633,
787.015686,0.001563813654,
786.0062256,0.001107206917,
784.996521,0.001475388999,
783.9863281,0.001719093998,
783.0106201,0.0009259178769,
781.9995728,0.001807178487,
780.9882202,0.001621855423,
780.0113525,0.002127645537,
778.9992676,0.002059392631,
777.9866943,0.00149507774,
777.008728,0.001513754367,
775.9953613,0.0008520435658,
775.0166626,0.001661922783,
774.0025635,0.00155705912,
772.9880981,0.0008465449791,
772.0082397,0.00214606314,
770.993042,0.001442532986,
770.0123901,0.001707919058,
768.9963989,0.002326561138,
768.0150146,0.001589508029,
766.99823,0.001281146426,
766.0161133,0.001643291791,
764.9986572,0.001656310051,
764.0158081,0.001591352629,
762.9974976,0.001252017566,
762.013916,0.001801615814,
760.994873,0.0007036844618,
760.0105591,0.001589637948,
758.9907227,0.001467882539,
758.0056763,0.001546381856,
756.9851074,0.001230003429,
755.9993896,0.001797976671,
755.0133057,0.001911608502,
753.9916382,0.001688324497,
753.0047607,0.001657115528,
752.0175781,0.001827194239,
750.994751,0.00139916176,
750.0068359,0.001850980334,
748.9832764,0.001238310593,
747.9946289,0.001616269117,
747.0056763,0.001482713735,
746.0162964,0.001518715871,
744.9912109,0.001427261741,
744.0011597,0.001373089268,
743.0107422,0.001428222633,
741.9846802,0.001517910627,
740.9935303,0.001507520094,
740.0020142,0.001604733057,
739.0102539,0.001623804099,
737.982605,0.001372128376,
736.9901123,0.001100770896,
735.9971924,0.001527625951,
735.0039063,0.001721199136,
734.010437,0.001841543708,
733.0164185,0.001599224983,
731.9866333,0.001754699857,
730.9920654,0.001786773675,
729.9970703,0.001829897752,
729.00177,0.001622037264,
728.0060425,0.002002150519,
727.0100708,0.001905316487,
726.0137329,0.001778897946,
725.0170288,0.001723564113,
723.984375,0.001934957341,
722.9869995,0.00164843665,
721.9893188,0.002000122098,
720.9912109,0.002106783679,
719.9927979,0.001877835602,
718.9940186,0.001713792328,
717.994873,0.002081396757,
716.9955444,0.002094038064,
715.9957275,0.00178209506,
714.9956055,0.001437910018,
713.9951172,0.002144580474,
712.9943237,0.002412972972,
711.9932251,0.002146167215,
710.9917603,0.002190445783,
709.9899902,0.001987301512,
708.987854,0.002213184955,
707.9853516,0.002043553395,
706.9825439,0.002233063336,
706.0153198,0.002504270291,
705.0118408,0.002485160716,
704.0079956,0.002082151128,
703.0039063,0.002612123499,
701.9994507,0.002183135133,
700.9946289,0.002156182891,
699.989563,0.002036765218,
698.9840698,0.002373382682,
698.0142212,0.002358547179,
697.0080566,0.002081604907,
696.0016479,0.002306704642,
694.9949341,0.002537102671,
693.987854,0.00232705567,
693.0164185,0.002430933993,
692.008728,0.001795091433,
691.0006714,0.002232022583,
689.9923096,0.002148144413,
688.9835205,0.002446969738,
688.010498,0.002688954584,
687.0011597,0.002529838122,
685.9915161,0.002462407108,
685.0175781,0.002574207727,
684.0072632,0.002424842911,
682.9966431,0.002145907143,
681.9857178,0.00222957693,
681.0105591,0.002808317076,
679.9989624,0.00238064467,
678.9870605,0.002436036244,
678.0109253,0.002663794206,
676.9984131,0.002477272181,
675.9855347,0.002409693087,
675.008606,0.002577905543,
673.9951172,0.002539706416,
673.0174561,0.002253124956,
672.003418,0.002066154964,
670.9889526,0.002306626644,
670.010498,0.00246269349,
668.9954224,0.002795941662,
668.0162964,0.00264702132,
667.0006714,0.002592774574,
665.9846802,0.002748162951,
665.0046387,0.002232569037,
663.9880371,0.002508878708,
663.0074463,0.002325468231,
661.9902344,0.002666528802,
661.0090332,0.002399333287,
659.9912109,0.002449286636,
659.0093994,0.002053176519,
657.9909668,0.002585873706,
657.0085449,0.002908479888,
655.989563,0.002348656999,
655.0065918,0.002768769162,
653.9868774,0.00261733192,
653.003418,0.002694450552,
651.9830933,0.002480734838,
650.9989624,0.002843830036,
650.0145874,0.003306518774,
648.9933472,0.00260964944,
648.0083618,0.002601211891,
646.9866333,0.002836065367,
646.0010376,0.00289847306,
645.0151978,0.003322091186,
643.9924927,0.002956875833,
643.0060425,0.002783149714,
641.9827271,0.003171086777,
640.9957886,0.003041353542,
640.0084839,0.003370428924,
638.9842529,0.003424564144,
637.99646,0.003489587456,
637.0082397,0.003155650338,
635.9832153,0.00344851613,
634.9945679,0.003545564367,
634.0055542,0.003249790287,
633.0162964,0.003414754057,
631.9901123,0.003265517065,
631.0001831,0.00370272994,
630.0101318,0.003488126211,
628.9830322,0.003770458279,
627.9923096,0.003807825735,
627.0014038,0.0038697985,
626.0101318,0.003862616373,
624.9818726,0.003766176058,
623.9901733,0.003882962046,
622.9979858,0.004225039389,
622.0056763,0.004262916744,
621.0131226,0.004291673191,
619.9833984,0.00449746754,
618.9902344,0.004242500756,
617.9968262,0.004305947106,
617.0031128,0.004184081685,
616.0090942,0.004276536405,
615.0148926,0.004241167568,
613.9834595,0.004405749962,
612.9886475,0.004802101757,
611.9936523,0.005083247088,
610.998291,0.004866939038,
610.0026245,0.004929403774,
609.0067749,0.004845133983,
608.0106201,0.005073870998,
607.0141602,0.005106216762,
606.0175171,0.005225512199,
604.9836426,0.005534511991,
603.9864502,0.00559691526,
602.9888916,0.005612622481,
601.9911499,0.005704857409,
600.993103,0.006025957409,
599.994873,0.005998266861,
598.9963379,0.00598057732,
597.9974976,0.006594012957,
596.9984131,0.006219603121,
595.9990845,0.006680199876,
594.9995117,0.006938364357,
593.9996338,0.006968482397,
592.9995117,0.006875689607,
591.9991455,0.007037668955,
590.9985352,0.007858175784,
589.9975586,0.007817716338,
588.9963989,0.007929323241,
587.9949951,0.008026244119,
586.9933472,0.008200893179,
585.991394,0.008397939615,
584.9891968,0.008458960801,
583.9868164,0.008744465187,
582.9840088,0.008918346837,
582.0182495,0.009254736826,
581.0150146,0.009473532438,
580.0115967,0.009788667783,
579.0078735,0.01025025826,
578.0038452,0.01025956124,
576.9996338,0.01051601768,
575.9951172,0.01096707303,
574.9904175,0.01134193223,
573.9853516,0.01151483692,
573.017395,0.01174597163,
572.0119019,0.01193340495,
571.0061646,0.01240503229,
570.0001831,0.01273837686,
568.9939575,0.01291639917,
567.9874878,0.01349728368,
567.0180664,0.01371598337,
566.0110474,0.01426733565,
565.0038452,0.01453160401,
563.9963379,0.01523343287,
562.9886475,0.01541942731,
562.0180054,0.01603265293,
561.0098267,0.01648264751,
560.0012817,0.01687088422,
558.9926758,0.01743641682,
557.9837036,0.01761268266,
557.0119019,0.01842315681,
556.0024414,0.01911275089,
554.9927979,0.01968741603,
553.9829102,0.02023159713,
553.0101929,0.02072389424,
551.9996948,0.02135651559,
550.9891357,0.02202646807,
550.015686,0.02292299457,
549.0045776,0.02357000671,
547.9931641,0.02431223169,
546.9816284,0.02498424053,
546.0072632,0.02561211959,
544.9951782,0.02657513879,
543.9829102,0.0273971241,
543.0078735,0.02791288123,
541.9951172,0.02874312922,
540.9820557,0.0298733972,
540.0063477,0.03063131496,
538.9929199,0.03183249757,
538.0167236,0.03262192011,
537.0027466,0.0335884057,
535.9886475,0.03456940502,
535.0117798,0.03589017317,
533.9971313,0.03667870164,
532.9822388,0.03790056333,
532.0047607,0.03895951435,
530.9893799,0.04049596563,
530.0114136,0.04152928665,
528.9956665,0.04277837276,
528.0172729,0.04392470792,
527.0010376,0.04523480684,
525.9844971,0.04675675556,
525.0054321,0.04813567549,
523.9885864,0.04968000203,
523.0090332,0.05115243047,
521.9916992,0.05262031406,
521.0117798,0.05409346893,
519.9939575,0.05592543259,
519.0136108,0.05722944066,
517.9952393,0.05901622772,
517.0145264,0.06054055318,
515.9957275,0.06251233071,
515.0145874,0.06436389685,
513.9953613,0.06652382761,
513.0137329,0.06814400107,
511.9942017,0.07010660321,
511.0120544,0.07231776416,
509.9919739,0.07442218065,
509.009491,0.07638400793,
507.9890137,0.07840462774,
507.006134,0.08098442107,
505.9851685,0.08328028023,
505.0018311,0.08570849895,
504.01828,0.08788601309,
502.9967041,0.09035661072,
502.0127563,0.09296891093,
500.9907227,0.09541823715,
500.0063477,0.0985205397,
498.9839172,0.1012769789,
497.999115,0.1038501188,
497.0141602,0.1065071374,
495.9909973,0.1092429534,
495.0056152,0.112417765,
493.9820862,0.1153601035,
492.9962463,0.1183712631,
492.0102844,0.1214360297,
490.9861145,0.1238284409,
489.9996948,0.1269667149,
489.0130615,0.1307756156,
487.9882813,0.1341128945,
487.0012817,0.1372831464,
486.0139465,0.1406378448,
484.9885864,0.1443364471,
484.0009766,0.1475631148,
483.0131226,0.1504383236,
481.9871216,0.154640004,
480.9988708,0.1583538949,
480.010437,0.1621462256,
478.9837952,0.1660286337,
477.9949341,0.1697049439,
477.0059204,0.1740757376,
476.0167542,0.1778297871,
474.9891968,0.1823994815,
473.9996033,0.1861313581,
473.0098267,0.1903050244,
471.9817505,0.1945570409,
470.9915466,0.1988383532,
470.0011902,0.2033558339,
469.0105896,0.2074856609,
467.98172,0.2117330134,
466.9907837,0.2156988382,
465.9995728,0.2204085439,
465.0082397,0.2246200591,
464.0167236,0.2287486643,
462.9867554,0.2337317765,
461.9948425,0.2381439507,
461.0027771,0.2428628355,
460.0104065,0.2475657761,
459.0179138,0.2515889406,
457.9870911,0.2566811442,
456.9942017,0.2609752715,
456.0011597,0.2655816376,
455.0079346,0.2703710496,
454.0144653,0.2748506665,
452.982666,0.2802094817,
451.9888306,0.284352839,
450.994873,0.2891644239,
450.0007019,0.2936849892,
449.0063477,0.2984426916,
448.0117798,0.3032017648,
447.0170898,0.3077577651,
445.9839172,0.3124720156,
444.9888,0.3168729544,
443.9934998,0.3216034174,
442.9980469,0.3261480927,
442.0024414,0.33043468,
441.0065613,0.3347323239,
440.0105896,0.3385230005,
439.0144653,0.3431835175,
438.0180969,0.3474321961,
436.9831543,0.3516577482,
435.9864502,0.3556537032,
434.9895935,0.3594136834,
433.9925232,0.3635025024,
