LN46_0.75_1_0.5mL_s_0.5mL_Ti_4mL_H2O_DF10_24h,,LN46_0.75_2_0.5mL_s_0.5mL_Ti_4mL_H2O_DF10_24h,,LN46_0.75_3_0.5mL_s_0.5mL_Ti_4mL_H2O_DF10_24h,,LN46_0.75_4_0.5mL_s_0.5mL_Ti_4mL_H2O_DF10_24h,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
799.9927368,0.001257625176,799.9927368,-0.0002539706184,799.9927368,0.002392773982,799.9927368,0.009667504579,
798.9887695,0.001026685233,798.9887695,0.0003507670481,798.9887695,0.002492294181,798.9887695,0.009124522097,
797.984314,0.001295322203,797.984314,0.0002629256924,797.984314,0.002144268248,797.984314,0.008700489998,
797.0142212,0.0009427021723,797.0142212,-0.0007150545134,797.0142212,0.001816068427,797.0142212,0.008368065581,
796.0089111,0.0005222267355,796.0089111,-0.0004759891017,796.0089111,0.001597770024,796.0089111,0.00755684264,
795.0032349,0.0006440283614,795.0032349,-0.0004863837385,795.0032349,0.00158412999,795.0032349,0.007320739329,
793.9973145,0.0004923712695,793.9973145,-0.0003420777502,793.9973145,0.00158535107,793.9973145,0.007345670834,
792.9909058,0.001353042433,792.9909058,0.0006059471052,792.9909058,0.001957319211,792.9909058,0.00764914928,
791.9840698,0.001142736757,791.9840698,5.332836736E-005,791.9840698,0.001827168162,791.9840698,0.006956434809,
791.0115356,-6.590067642E-005,791.0115356,-0.0005706693628,791.0115356,0.001084499527,791.0115356,0.006461282726,
790.0040283,0.001473129261,790.0040283,0.0002185325429,790.0040283,0.002051277785,790.0040283,0.00668971613,
788.9960327,0.001142062014,788.9960327,-0.000241293732,788.9960327,0.001973597333,788.9960327,0.00605798047,
787.9876099,-1.604927093E-006,787.9876099,-0.0004362182808,787.9876099,0.001415393082,787.9876099,0.005345574114,
787.0135498,0.0005226155045,787.0135498,-0.0001622229465,787.0135498,0.001128280535,787.0135498,0.005682432558,
786.0043945,0.0005876465002,786.0043945,-0.0003762189881,786.0043945,0.001302540069,786.0043945,0.005057999864,
784.994873,0.0008640265441,784.994873,0.0002018280065,784.994873,0.001496220706,784.994873,0.005605752114,
783.9848633,0.0005852358299,783.9848633,-0.0007098341011,783.9848633,0.001605486497,783.9848633,0.005455524661,
783.0092773,0.0005594452959,783.0092773,-3.727563353E-006,783.0092773,0.001391760539,783.0092773,0.00520193344,
781.9985352,0.001451960998,781.9985352,0.0001483260421,781.9985352,0.001848614658,781.9985352,0.005371152423,
780.9874268,0.000689035398,780.9874268,-8.779633208E-005,780.9874268,0.002039392013,780.9874268,0.00496516889,
780.0107422,-0.0002671645489,780.0107422,-0.0004561817332,780.0107422,0.0008541444549,780.0107422,0.004168478306,
778.9988403,0.0006460504374,778.9988403,3.681140879E-005,778.9988403,0.001837098505,778.9988403,0.004852123093,
777.9864502,0.0003656119516,777.9864502,-0.0007032697322,777.9864502,0.001191974618,777.9864502,0.004338000901,
777.008667,0.000398049684,777.008667,-9.333476919E-005,777.008667,0.001714753918,777.008667,0.005020446144,
775.9955444,6.161297642E-005,775.9955444,-0.0001279613789,775.9955444,0.0006000368739,775.9955444,0.003783331718,
775.0170288,8.167790656E-005,775.0170288,-0.0006355529767,775.0170288,0.00171233702,775.0170288,0.004135313444,
774.0031128,0.0006111574476,774.0031128,-0.0009817796526,774.0031128,0.00119457033,774.0031128,0.003872567089,
772.9888306,0.0008186642081,772.9888306,-0.0001107778153,772.9888306,0.001070356579,772.9888306,0.003678659443,
772.0091553,4.791757237E-005,772.0091553,-0.0004746445047,772.0091553,0.001217361423,772.0091553,0.00328025315,
