LN46_0.75_1_0.5mL_s_0.5mL_Ti_0h,,LN46_0.75_1_0.5mL_s_0.5mL_Ti_0h_r,,LN46_0.75_2_0.5mL_s_0.5mL_Ti_0h,,LN46_0.75_2_0.5mL_s_0.5mL_Ti_0h_r,,LN46_0.75_3_0.5mL_s_0.5mL_Ti_0h,,LN46_0.75_4_0.5mL_s_0.5mL_Ti_0h,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
769.9984741,0.05319086462,769.9984741,-2.433274176E-006,769.9984741,0.0161061734,769.9984741,-0.002616062062,769.9984741,0.005797794089,769.9984741,-0.004430794623,
768.9827881,0.05254414305,768.9827881,-0.000893078919,768.9827881,0.01529756747,768.9827881,-0.002783123869,768.9827881,0.005115358159,768.9827881,-0.004936967976,
768.0015869,0.05112858117,768.0015869,-0.0003731670731,768.0015869,0.01433801558,768.0015869,-0.002949710004,768.0015869,0.005021310411,768.0015869,-0.005172772333,
766.9850464,0.04866277426,766.9850464,-0.0005323033547,766.9850464,0.01436865143,766.9850464,-0.002709659515,766.9850464,0.005598698277,766.9850464,-0.004612527788,
766.0032959,0.04854172841,766.0032959,-0.0001887194667,766.0032959,0.0140772881,766.0032959,-0.00276043755,766.0032959,0.005299846176,766.0032959,-0.004552231636,
764.9859619,0.04677094147,764.9859619,-0.0003466818016,764.9859619,0.01347154286,764.9859619,-0.00286367326,764.9859619,0.004862803034,764.9859619,-0.004764434416,
764.0033569,0.04684760422,764.0033569,3.852002919E-005,764.0033569,0.01303519215,764.0033569,-0.00283631077,764.0033569,0.006004119758,764.0033569,-0.004572519101,
762.9852905,0.04532435909,762.9852905,-0.0002006734285,762.9852905,0.01202119049,762.9852905,-0.00271053426,762.9852905,0.005397754256,762.9852905,-0.004659037571,
762.0020142,0.0439423807,762.0020142,-0.0005663261982,762.0020142,0.01142460294,762.0020142,-0.003292504698,762.0020142,0.00527007971,762.0020142,-0.00477298582,
760.9831543,0.04251790419,760.9831543,-0.0003642698575,760.9831543,0.01122899447,760.9831543,-0.003090170678,760.9831543,0.005661845207,760.9831543,-0.005029708613,
759.9991455,0.04092514515,759.9991455,-0.0002422250982,759.9991455,0.01117310766,759.9991455,-0.002665153006,759.9991455,0.005256847944,759.9991455,-0.004904514179,
759.0147095,0.03947272524,759.0147095,-0.0005360263167,759.0147095,0.01091331616,759.0147095,-0.003110886551,759.0147095,0.005436730105,759.0147095,-0.005066860467,
757.994812,0.03844173625,757.994812,-0.000870603777,757.994812,0.01025200728,757.994812,-0.003066112753,757.994812,0.005284936167,757.994812,-0.004948945716,
757.0096436,0.03635042533,757.0096436,-0.0008366564289,757.0096436,0.009916963987,757.0096436,-0.003142343601,757.0096436,0.00482016243,757.0096436,-0.005407375284,
755.9889526,0.03507220373,755.9889526,-0.0001161089313,755.9889526,0.01001456752,755.9889526,-0.002988788532,755.9889526,0.00558723975,755.9889526,-0.00469657965,
755.0030518,0.03377856687,755.0030518,-0.0005556232645,755.0030518,0.008881831542,755.0030518,-0.002829727018,755.0030518,0.005318791606,755.0030518,-0.005317681469,
754.0168457,0.0341559276,754.0168457,-0.000502776762,754.0168457,0.008567748591,754.0168457,-0.002484404715,754.0168457,0.005093199667,754.0168457,-0.005081034731,
752.9949951,0.03349785507,752.9949951,-0.0002350327559,752.9949951,0.008485594764,752.9949951,-0.00299259345,752.9949951,0.005225119181,752.9949951,-0.004881273024,
752.0080566,0.03199962899,752.0080566,-0.0006559725152,752.0080566,0.007709142752,752.0080566,-0.002970123896,752.0080566,0.005170366261,752.0080566,-0.005190370604,
750.9854736,0.03164126351,750.9854736,-0.0004291325749,750.9854736,0.006811971311,750.9854736,-0.003018660704,750.9854736,0.005156875588,750.9854736,-0.005445977673,
749.9978027,0.03164413199,749.9978027,-0.0005173592945,749.9978027,0.007096183952,749.9978027,-0.00302534434,749.9978027,0.005584407598,749.9978027,-0.005203773733,
749.0097046,0.03093433753,749.0097046,-0.0008406868437,749.0097046,0.006348608062,749.0097046,-0.003308535088,749.0097046,0.0050975997,749.0097046,-0.005450630095,
747.986084,0.03043544479,747.986084,-0.0009868934285,747.986084,0.006082078442,747.986084,-0.003539319849,747.986084,0.00474318862,747.986084,-0.005413408391,
746.9972534,0.03042733669,746.9972534,-0.0008510727785,746.9972534,0.005998870358,746.9972534,-0.003774293,746.9972534,0.004505680408,746.9972534,-0.005311340094,
746.0082397,0.02997869812,746.0082397,-0.0005070688203,746.0082397,0.006118989084,746.0082397,-0.003054854227,746.0082397,0.004642915912,746.0082397,-0.00512780156,
744.9833984,0.02905839682,744.9833984,-0.0006098074955,744.9833984,0.005413349718,744.9833984,-0.002973774681,744.9833984,0.004757923074,744.9833984,-0.005344121251,
743.9935913,0.02778042667,743.9935913,-0.0005455405335,743.9935913,0.005590438377,743.9935913,-0.003079941031,743.9935913,0.005117610563,743.9935913,-0.005067372229,
743.003418,0.02659165114,743.003418,-0.0001899614581,743.003418,0.005577406846,743.003418,-0.00236207922,743.003418,0.005485015456,743.003418,-0.004778618459,
742.0129395,0.02529346943,742.0129395,-0.0003615282185,742.0129395,0.005022462457,742.0129395,-0.002812444232,742.0129395,0.005116431974,742.0129395,-0.005142843351,
740.9866333,0.02418443002,740.9866333,-0.0003267133143,740.9866333,0.005417962559,740.9866333,-0.002966370201,740.9866333,0.005055878777,740.9866333,-0.004922481719,
739.9954224,0.02367031947,739.9954224,-0.0003436814004,739.9954224,0.005056192633,739.9954224,-0.002801899333,739.9954224,0.005270446185,739.9954224,-0.005147806369,
739.0037842,0.02224623784,739.0037842,-0.000618441205,739.0037842,0.004259962589,739.0037842,-0.003362325719,739.0037842,0.004692395218,739.0037842,-0.005344836973,
738.0119019,0.02170826122,738.0119019,-0.0002236489381,738.0119019,0.004178540781,738.0119019,-0.002883011242,738.0119019,0.005045350641,738.0119019,-0.005073154345,
736.9841919,0.02078403905,736.9841919,-0.0004099954676,736.9841919,0.003490657313,736.9841919,-0.003114484716,736.9841919,0.004900369328,736.9841919,-0.005089221988,
735.9914551,0.02094417438,735.9914551,-0.0003467335191,735.9914551,0.003711162833,735.9914551,-0.003153137164,735.9914551,0.00479657948,735.9914551,-0.005133582745,
734.9985352,0.01973736659,734.9985352,-0.0005990022328,734.9985352,0.003474009223,734.9985352,-0.003056139452,734.9985352,0.005086311139,734.9985352,-0.005496539176,
734.005188,0.01956159063,734.005188,-0.0001835445,734.005188,0.003389551537,734.005188,-0.002636543009,734.005188,0.005126804579,734.005188,-0.005027201027,
