LN46_0.75_1_0.5mL_s_0.5mL_Ti_2h,,LN46_0.75_2_0.5mL_s_0.5mL_Ti_2h,,LN46_0.75_3_0.5mL_s_0.5mL_Ti_2h,,LN46_0.75_4_0.5mL_s_0.5mL_Ti_2h,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
754.0168457,0.01446129289,754.0168457,-0.002436940791,754.0168457,-0.001058738795,754.0168457,-0.003400288522,
752.9949951,0.0144671537,752.9949951,-0.002395186573,752.9949951,-0.00133366615,752.9949951,-0.003376298817,
752.0080566,0.01440712903,752.0080566,-0.002646886045,752.0080566,-0.0007833273266,752.0080566,-0.003180633998,
750.9854736,0.01467667706,750.9854736,-0.002293590456,750.9854736,-0.001000323449,750.9854736,-0.003233977826,
749.9978027,0.01443196274,749.9978027,-0.002248989884,749.9978027,-0.001242042985,749.9978027,-0.003095414024,
749.0097046,0.01452713367,749.0097046,-0.002616010606,749.0097046,-0.001122826594,749.0097046,-0.003428437281,
747.986084,0.01425326522,747.986084,-0.002535054926,747.986084,-0.001592325978,747.986084,-0.003351845546,
746.9972534,0.01417679433,746.9972534,-0.002679354511,746.9972534,-0.001336608082,746.9972534,-0.00372317154,
746.0082397,0.0149535723,746.0082397,-0.002447700361,746.0082397,-0.0009974824497,746.0082397,-0.003140390385,
744.9833984,0.01446030289,744.9833984,-0.002556157298,744.9833984,-0.00126692513,744.9833984,-0.003361503594,
743.9935913,0.01467268728,743.9935913,-0.002323047025,743.9935913,-0.001194442972,743.9935913,-0.003198415972,
743.003418,0.01474105101,743.003418,-0.002466130303,743.003418,-0.00078999385,743.003418,-0.003036500886,
742.0129395,0.01453620754,742.0129395,-0.002151686931,742.0129395,-0.00107598817,742.0129395,-0.003057424678,
740.9866333,0.01483385265,740.9866333,-0.002257230459,740.9866333,-0.0009050135268,740.9866333,-0.002743049292,
739.9954224,0.01471424475,739.9954224,-0.002214686479,739.9954224,-0.000961737067,739.9954224,-0.002764398698,
739.0037842,0.01453021169,739.0037842,-0.00216533849,739.0037842,-0.001067725127,739.0037842,-0.003166294657,
738.0119019,0.01471462008,738.0119019,-0.002266037511,738.0119019,-0.0009609105182,738.0119019,-0.002952383831,
736.9841919,0.01504055038,736.9841919,-0.002349051647,736.9841919,-0.0006267128047,736.9841919,-0.002866862109,
735.9914551,0.01403616555,735.9914551,-0.002324025612,735.9914551,-0.001108419383,735.9914551,-0.003089605365,
734.9985352,0.01460034586,734.9985352,-0.002189137507,734.9985352,-0.0008366564289,734.9985352,-0.002988171531,
734.005188,0.01489471272,734.005188,-0.002377474681,734.005188,-0.001074283966,734.005188,-0.003071921645,
733.0115356,0.01508589555,733.0115356,-0.001876607072,733.0115356,-0.0006418598932,733.0115356,-0.002760386094,
732.0174561,0.01472755428,732.0174561,-0.001986340387,732.0174561,-0.0007414139691,732.0174561,-0.002933974611,
730.9875488,0.01504148915,730.9875488,-0.001997111132,730.9875488,-0.0005402663955,730.9875488,-0.002647966612,
729.9928589,0.01490727719,729.9928589,-0.002014684025,729.9928589,-0.000764205819,729.9928589,-0.002577464562,
728.9976807,0.01588537917,728.9976807,-0.001657263492,728.9976807,-0.0002451227047,728.9976807,-0.002326394198,
728.0023193,0.01568074897,728.0023193,-0.001614815323,728.0023193,-0.000187166981,728.0023193,-0.002182904631,
727.0065308,0.01574030519,727.0065308,-0.00173745479,727.0065308,-0.0003107792581,727.0065308,-0.002141332021,
726.010437,0.01633347385,726.010437,-0.001139195636,726.010437,5.438982407E-005,726.010437,-0.001983609051,
725.0139771,0.0160371922,725.0139771,-0.001338620903,725.0139771,9.534848505E-005,725.0139771,-0.001823405502,
724.0171509,0.0159424413,724.0171509,-0.001240649144,724.0171509,0.0001280767756,724.0171509,-0.002080898033,
722.984436,0.01546532195,722.984436,-0.001434970996,722.984436,-3.722242764E-005,722.984436,-0.001909184619,
721.9869385,0.01661995426,721.9869385,-0.0007177938824,721.9869385,0.0004351539828,721.9869385,-0.001622707001,
720.9890747,0.01596545428,720.9890747,-0.001271261252,720.9890747,0.0002466856677,720.9890747,-0.002035039011,
719.9909058,0.01614687406,719.9909058,-0.0008968504844,719.9909058,0.0006787424791,719.9909058,-0.001293612411,
718.9923096,0.0159118548,718.9923096,-0.000739139854,718.9923096,0.0002093384974,718.9923096,-0.001558538177,
717.9935913,0.01635739766,717.9935913,-0.0006790790358,717.9935913,0.0004392739793,717.9935913,-0.001736681326,
716.9943848,0.01624607667,716.9943848,-0.0008012077888,716.9943848,0.0004149172455,716.9943848,-0.001479139319,
715.994812,0.01693162695,715.994812,-0.0007629654719,715.994812,0.0007370809326,715.994812,-0.00151525496,
714.9949341,0.01656291261,714.9949341,-0.0005326652899,714.9949341,0.0007692352519,714.9949341,-0.00137629651,
