LN46_0.75_1_0.5mL_s_0.5mL_Ti_0h_r,Unnamed: 3
Wavelength (nm),Abs
800.0109253,0.0004518934002
799.007019,0.001512585441
798.0026855,0.0008401387604
796.9979248,0.0008175230469
795.9926758,0.0009777774103
794.9871826,0.0008026367868
794.0158691,0.0008085237932
793.0095215,0.0008571012877
792.0026855,0.0004879397748
790.9956055,6.213076995E-005
789.9880371,0.0005322049255
789.0148926,0.000245805044
788.0064697,0.0009385254816
786.9977417,-8.070495096E-005
785.9886475,0.0003506634384
785.013855,0.0004626992159
784.0039063,0.0005607412895
782.9935913,0.000909575203
781.9829102,-0.0004454760638
781.0066528,-0.0001751609088
779.9951782,-0.0003258855722
778.9832153,0.0002209929517
778.0058594,0.0001152596233
776.9931641,0.0001482224616
776.0150757,-0.0006245932309
775.0015869,-0.0004981226521
773.987793,-0.000331938325
773.0085449,0.000111349822
771.9938965,-0.0004926928086
771.013916,-0.001083992887
769.9984741,-2.433274176E-006
768.9827881,-0.000893078919
768.0015869,-0.0003731670731
766.9850464,-0.0005323033547
766.0032959,-0.0001887194667
764.9859619,-0.0003466818016
764.0033569,3.852002919E-005
762.9852905,-0.0002006734285
762.0020142,-0.0005663261982
760.9831543,-0.0003642698575
759.9991455,-0.0002422250982
759.0147095,-0.0005360263167
757.994812,-0.000870603777
757.0096436,-0.0008366564289
755.9889526,-0.0001161089313
755.0030518,-0.0005556232645
754.0168457,-0.000502776762
752.9949951,-0.0002350327559
752.0080566,-0.0006559725152
750.9854736,-0.0004291325749
749.9978027,-0.0005173592945
749.0097046,-0.0008406868437
747.986084,-0.0009868934285
746.9972534,-0.0008510727785
746.0082397,-0.0005070688203
744.9833984,-0.0006098074955
743.9935913,-0.0005455405335
743.003418,-0.0001899614581
742.0129395,-0.0003615282185
740.9866333,-0.0003267133143
739.9954224,-0.0003436814004
739.0037842,-0.000618441205
738.0119019,-0.0002236489381
736.9841919,-0.0004099954676
735.9914551,-0.0003467335191
