LN46_0.75_3_0.5mL_s_0.5mL_Ti_2h,Unnamed: 5
Wavelength (nm),Abs
800.0109253,0.001241841121
799.007019,-0.000299086998
798.0026855,1.423751564E-005
796.9979248,0.0004621550324
795.9926758,5.228996997E-006
794.9871826,0.0004439900222
794.0158691,0.0007548432914
793.0095215,-0.0004446485545
792.0026855,-0.0003537688463
790.9956055,-0.0005189623334
789.9880371,7.282333536E-005
789.0148926,-0.0002156283444
788.0064697,-0.0001058607086
786.9977417,-0.0001435916056
785.9886475,-0.0001009953048
785.013855,-0.001053574262
784.0039063,-0.0005052072229
782.9935913,0.0001594609494
781.9829102,-0.001057344372
781.0066528,-0.0002205442142
779.9951782,-0.0005182384048
778.9832153,-0.0006161664496
778.0058594,-0.001135890954
776.9931641,-0.0008543279837
776.0150757,-0.000562034722
775.0015869,-0.0006677585188
773.987793,-0.0004634738434
773.0085449,-0.000104514962
771.9938965,-0.001138937427
771.013916,-0.0009724816773
769.9984741,-0.0008314891602
768.9827881,-0.0008392917225
768.0015869,-0.000379943318
766.9850464,-0.0005477122031
766.0032959,-0.0005138947163
764.9859619,-0.000587627932
764.0033569,-0.000848747557
762.9852905,-0.0007310771034
762.0020142,-0.0008525195299
760.9831543,-0.001033534878
759.9991455,-0.001032243716
759.0147095,-0.001812011702
757.994812,-0.001377947978
757.0096436,-0.001372942002
755.9889526,-0.001555958879
755.0030518,-0.001285818056
754.0168457,-0.001058738795
752.9949951,-0.00133366615
752.0080566,-0.0007833273266
750.9854736,-0.001000323449
749.9978027,-0.001242042985
749.0097046,-0.001122826594
747.986084,-0.001592325978
746.9972534,-0.001336608082
746.0082397,-0.0009974824497
744.9833984,-0.00126692513
743.9935913,-0.001194442972
743.003418,-0.00078999385
742.0129395,-0.00107598817
740.9866333,-0.0009050135268
739.9954224,-0.000961737067
739.0037842,-0.001067725127
738.0119019,-0.0009609105182
736.9841919,-0.0006267128047
735.9914551,-0.001108419383
734.9985352,-0.0008366564289
734.005188,-0.001074283966
733.0115356,-0.0006418598932
732.0174561,-0.0007414139691
730.9875488,-0.0005402663955
729.9928589,-0.000764205819
728.9976807,-0.0002451227047
728.0023193,-0.000187166981
727.0065308,-0.0003107792581
726.010437,5.438982407E-005
725.0139771,9.534848505E-005
724.0171509,0.0001280767756
722.984436,-3.722242764E-005
721.9869385,0.0004351539828
720.9890747,0.0002466856677
719.9909058,0.0006787424791
718.9923096,0.0002093384974
717.9935913,0.0004392739793
716.9943848,0.0004149172455
715.994812,0.0007370809326
714.9949341,0.0007692352519
713.994751,0.001007380895
712.9941406,0.000503022573
711.9932861,0.0006776535884
710.9921265,0.000478351285
709.9904785,0.0008300756454
708.9885864,0.0006748535088
707.9863892,0.000812284241
706.9838257,0.001006343053
706.0167236,0.001263051061
705.0135498,0.0008235140122
704.0099487,0.0009648833075
703.0061035,0.0004289610661
702.0018311,0.001277537667
700.9973755,0.001176815946
699.9924927,0.001299372525
698.9872437,0.001017992967
698.0175781,0.0008720931946
697.0117798,0.001032263972
696.0056152,0.0008791483706
694.9990845,0.001567788539
693.9921875,0.001232936862
692.9850464,0.001516793622
692.0135498,0.001355976681
691.0057373,0.001775311073
689.9975586,0.001782952808
688.9891357,0.001671849284
688.0162964,0.001093270956
687.0072021,0.00175672723
685.9978027,0.0009509777883
684.9880371,0.001316976151
684.0139771,0.001360079506
683.0036621,0.001468012459
681.9929199,0.001471960451
681.0179443,0.0009584493819
680.0065918,0.001131784287
678.9949951,0.001302228542
677.9829712,0.00150333799
677.0068359,0.001596704824
675.9942017,0.001692456426
675.0174561,0.001565606217
674.0042725,0.001815002644
672.9906006,0.001719561755
672.0130005,0.001297632931
670.9987793,0.001440013759
669.984314,0.001439546235
669.0056763,0.001599666663
667.9906006,0.001427729148
667.0114136,0.001623128541
665.9956665,0.001599770621
665.0159302,0.001408484997
663.9995728,0.001737208455
662.9829102,0.001739807427
662.0021362,0.001450818265
660.9849243,0.001455051824
660.0036621,0.001855165814
658.9857788,0.001947230194
658.0039063,0.001885375124
656.9853516,0.001990240067
656.0029297,0.00180333131
654.9838257,0.001938935602
654.0007935,0.001807074412
653.0174561,0.00226527662
651.9974365,0.00248862314
651.0135498,0.001789684873
649.992981,0.001941275666
649.0084229,0.002210349077
647.9871826,0.002045139903
647.0021362,0.001861821045
646.0167847,0.002190992003
644.9946899,0.002381035127
644.008728,0.002308214083
642.9860229,0.002327862429
641.9995117,0.002206212142
641.0126953,0.002694450552
639.9891357,0.002667700872
639.00177,0.002634650562
638.0141602,0.002574936952
636.989624,0.002947910223
636.0014038,0.002776636742
635.0129395,0.003054335713
633.9875488,0.0031342695
632.9985352,0.003140944289
632.0092163,0.003200162202
630.9829102,0.003519936698
629.993042,0.003310509725
629.0028687,0.003418276319
628.0123901,0.00361817563
626.9849854,0.00365866255
625.9939575,0.003393412801
625.0026855,0.003884032834
624.0111084,0.003760875436
622.9824829,0.003871339606
621.9904175,0.004017989151
620.9980469,0.004019086715
620.0054321,0.00431514997
619.0124512,0.004187217914
617.9824829,0.004495087545
616.9890137,0.004503744654
615.9951782,0.004608590156
615.0012207,0.004675648641
614.006897,0.004973233677
613.0122681,0.005130340345
612.0174561,0.005174531136
610.9855347,0.005310196429
609.9900513,0.005309986882
608.9944458,0.005828619935
607.9985352,0.005859238096
607.0023193,0.006206289865
606.0059204,0.00598601019
605.0091553,0.006420743652
604.012146,0.006250275299
603.0148926,0.006750839297
602.017395,0.006790068001
600.982605,0.006966956891
599.9846191,0.00754380459
598.9862671,0.007699973416
597.9876709,0.008039270528
596.9888306,0.008111634292
595.9896851,0.008783609606
594.9903564,0.008659346029
593.9907227,0.009112281725
592.9908447,0.009518273175
591.9907227,0.009751788341
590.9902954,0.009977933951
589.989563,0.01033648476
588.9886475,0.01089003682
587.9874878,0.01112296339
586.9860229,0.0113063287
585.984314,0.0120395273
584.9823608,0.01238002162
584.0172119,0.01248961035
583.0147705,0.01331339125
582.0120239,0.01389820222
581.0090332,0.0141043216
580.0058594,0.01458259765
579.0023804,0.01522761583
577.9985962,0.01541430503
576.9945679,0.01600831747
575.9902954,0.01654545963
574.9858398,0.01722935773
574.0183105,0.01789660938
573.0132446,0.01818217896
572.0079956,0.01883473247
571.0025024,0.01965740509
569.9967041,0.02018281072
568.9907837,0.02099234052
567.984436,0.02190990001
567.0153198,0.02216998115
566.0084839,0.02305585891
565.0015259,0.02412225306
563.9942627,0.02463213354
562.9868164,0.02555253729
562.0163574,0.02616666816
561.0084229,0.02718239464
560.0001221,0.02835469134
558.9916992,0.02922349423
557.9829712,0.03023957834
557.0114136,0.03137692437
556.0021973,0.03232719749
554.9927368,0.03330504522
553.9830933,0.03450421244
553.0105591,0.03563242406
552.0003052,0.03694355115
550.9899902,0.03805198893
550.0167847,0.03923222423
549.0058594,0.04089118168
547.9946899,0.0419732295
546.9833984,0.04333101213
546.0092773,0.04471936449
544.9974365,0.04655992985
543.9854126,0.04802440479
543.0105591,0.04932171479
541.9979858,0.05094265938
540.9851685,0.05262767896
540.0097046,0.05444929004
538.99646,0.0563991107
537.9830322,0.05855855346
537.0067749,0.06001632661
535.9928589,0.06193970889
535.0162964,0.06413201988
534.0018921,0.06628134847
532.9871826,0.06817980111
532.0099487,0.07045292854
530.994812,0.07284343988
530.0170898,0.0754608959
529.0015259,0.07758302242
527.9857178,0.07997614145
527.0073242,0.08274117112
525.9910278,0.08552914858
525.012207,0.08776281029
523.9955444,0.09058698267
523.0162354,0.09364774823
521.9991455,0.09656184912
520.9817505,0.09979426116
520.0018311,0.1026786864
518.9839478,0.1057799086
518.0036011,0.1086252108
516.9853516,0.1120619178
516.0045776,0.1156267673
514.9859009,0.1191427857
514.0046387,0.122793749
512.9855347,0.1263146698
512.0039063,0.1300417036
510.9842224,0.1340526491
510.0021667,0.1379295737
508.9820862,0.1424900889
507.9996338,0.1457064301
507.0169678,0.1504182965
505.9962463,0.1546162367
505.0131531,0.1594890207
503.9919739,0.1643501669
503.0084534,0.1686440408
501.9868469,0.1739285886
501.0029297,0.1786564291
500.0187683,0.1837693453
498.996582,0.1893023252
498.0119934,0.1941402555
496.9893188,0.1997208148
496.004364,0.2045495659
494.9812927,0.2102409005
493.9958801,0.2166411877
493.0102844,0.2218407094
491.9866028,0.2276545018
491.0006104,0.232225135
490.0144043,0.2387221605
488.9900208,0.2457070649
488.0034485,0.2520066202
487.0166626,0.2578593194
485.9916382,0.2644587159
485.004425,0.2714604735
484.0170288,0.2777434587
482.9914246,0.2832027078
482.0036316,0.290863663
481.015625,0.2979167402
479.9894104,0.305439949
479.0010071,0.3122808039
478.0123596,0.3194606602
476.9855347,0.3281623721
475.9965515,0.3354024589
475.0073242,0.3434067369
