LN46_0.75_2_0.5mL_s_0.5mL_Ti_0h_r,Unnamed: 7
Wavelength (nm),Abs
800.0109253,-0.001869287109
799.007019,-0.00185629644
798.0026855,-0.001892122906
796.9979248,-0.001618477516
795.9926758,-0.001895988942
794.9871826,-0.001616414404
794.0158691,-0.001977682346
793.0095215,-0.002098003868
792.0026855,-0.002022207715
790.9956055,-0.001843253733
789.9880371,-0.001531506074
789.0148926,-0.002038233681
788.0064697,-0.002270569792
786.9977417,-0.002015508711
785.9886475,-0.002539841691
785.013855,-0.001825673971
784.0039063,-0.001594234607
782.9935913,-0.00182768458
781.9829102,-0.002905999543
781.0066528,-0.002252286067
779.9951782,-0.002483581193
778.9832153,-0.002195885405
778.0058594,-0.002513024956
776.9931641,-0.002543187002
776.0150757,-0.003070790786
775.0015869,-0.002876325278
773.987793,-0.002883834066
773.0085449,-0.002233847277
771.9938965,-0.00306888856
771.013916,-0.003384415293
769.9984741,-0.002616062062
768.9827881,-0.002783123869
768.0015869,-0.002949710004
766.9850464,-0.002709659515
766.0032959,-0.00276043755
764.9859619,-0.00286367326
764.0033569,-0.00283631077
762.9852905,-0.00271053426
762.0020142,-0.003292504698
760.9831543,-0.003090170678
759.9991455,-0.002665153006
759.0147095,-0.003110886551
757.994812,-0.003066112753
757.0096436,-0.003142343601
755.9889526,-0.002988788532
755.0030518,-0.002829727018
754.0168457,-0.002484404715
752.9949951,-0.00299259345
752.0080566,-0.002970123896
750.9854736,-0.003018660704
749.9978027,-0.00302534434
749.0097046,-0.003308535088
747.986084,-0.003539319849
746.9972534,-0.003774293
746.0082397,-0.003054854227
744.9833984,-0.002973774681
743.9935913,-0.003079941031
743.003418,-0.00236207922
742.0129395,-0.002812444232
740.9866333,-0.002966370201
739.9954224,-0.002801899333
739.0037842,-0.003362325719
738.0119019,-0.002883011242
736.9841919,-0.003114484716
735.9914551,-0.003153137164
734.9985352,-0.003056139452
734.005188,-0.002636543009
733.0115356,-0.00279505807
732.0174561,-0.002800767776
730.9875488,-0.002191764535
729.9928589,-0.002516061766
728.9976807,-0.002350236056
728.0023193,-0.002195576439
727.0065308,-0.002003346803
726.010437,-0.00209182105
725.0139771,-0.001679543173
724.0171509,-0.001654323656
722.984436,-0.001845006598
721.9869385,-0.002008757787
720.9890747,-0.001346311183
719.9909058,-0.001753181918
718.9923096,-0.001535581541
717.9935913,-0.001561014331
716.9943848,-0.001432081335
715.994812,-0.001038751449
714.9949341,-0.001210034941
713.994751,-0.0009872550145
712.9941406,-0.001383727998
711.9932861,-0.000804256706
710.9921265,-0.0007359871524
709.9904785,-0.001004920457
708.9885864,-0.0009571395349
707.9863892,-0.001058170688
706.9838257,-0.0007475125603
706.0167236,-0.000769580598
705.0135498,-0.0006100659957
704.0099487,-0.000795523345
703.0061035,-0.0007254951051
702.0018311,-0.0003512340772
700.9973755,-0.000834434526
699.9924927,-0.0007676684181
698.9872437,-0.0008040500106
698.0175781,-0.0005519521073
697.0117798,-0.001126751187
696.0056152,-0.001009724103
694.9990845,-0.0008178473217
693.9921875,-0.0004079265345
692.9850464,-0.001452360186
692.0135498,-0.0007858079043
691.0057373,-0.0004354942066
689.9975586,-0.001166252303
688.9891357,-0.000745186815
688.0162964,-0.0009012936498
687.0072021,-0.0005921259872
685.9978027,-0.0006665696274
684.9880371,-0.001074645435
684.0139771,-0.0009150878759
683.0036621,-0.001180141349
681.9929199,-0.0008766489336
681.0179443,-0.0008336594328
680.0065918,-0.0008485409198
678.9949951,-0.0008681754116
677.9829712,-0.0003297138319
677.0068359,-0.001046188758
675.9942017,-0.001056982903
675.0174561,-0.0008481792174
674.0042725,-0.0007868414978
672.9906006,-0.000714744383
672.0130005,-0.0004737136187
